Time (Y-M-D-H-M-S);Time from Start (Seconds);Loop Time (Seconds);K1.0 Conductivity Reading (uS/cm);K0.1 #1 Conductivity Reading (uS/cm);K0.1 #2 Conductivity Reading (uS/cm);K0.1 #3 Conductivity Reading (uS/cm)
2025-12-15 16:29:06;15.55819845199585;0.9137647151947021; 0.14; 15.17; 11.61; 2.95
2025-12-15 16:29:07;16.472442865371704;0.9145638942718506; 0.00; 15.17; 11.69; 2.93
2025-12-15 16:29:08;17.38724708557129;0.9156882762908936; 0.00; 15.13; 11.64; 2.91
2025-12-15 16:29:09;18.303932189941406;0.91404128074646; 0.00; 15.10; 11.66; 2.93
2025-12-15 16:29:10;19.218193292617798;0.9145181179046631; 0.00; 15.13; 11.66; 2.93
2025-12-15 16:29:11;20.13396453857422;0.9144246578216553; 0.29; 15.11; 11.64; 2.93
2025-12-15 16:29:12;21.048635959625244;0.9144432544708252; 0.00; 15.15; 11.66; 2.93
2025-12-15 16:29:13;21.964115381240845;0.9141626358032227; 0.14; 15.13; 11.64; 2.93
2025-12-15 16:29:14;22.87852382659912;0.9178388118743896; 0.00; 15.13; 11.64; 2.93
2025-12-15 16:29:14;23.797281503677368;0.914048433303833; 0.00; 15.13; 11.64; 2.95
2025-12-15 16:29:15;24.71163320541382;0.9143407344818115; 0.00; 15.13; 11.66; 2.93
2025-12-15 16:29:16;25.626280784606934;0.9137279987335205; 0.00; 15.15; 11.66; 2.95
2025-12-15 16:29:17;26.540332555770874;0.9137163162231445; 0.00; 15.10; 11.67; 2.93
2025-12-15 16:29:18;27.454334020614624;0.9134905338287354; 0.00; 15.17; 11.66; 2.91
2025-12-15 16:29:19;28.368262767791748;0.9135351181030273; 0.00; 15.13; 11.66; 2.95
2025-12-15 16:29:20;29.282217025756836;0.913433313369751; 0.00; 15.12; 11.61; 2.98
2025-12-15 16:29:21;30.196061611175537;0.9134364128112793; 0.00; 15.13; 11.66; 2.93
2025-12-15 16:29:22;31.10993242263794;0.9134149551391602; 0.00; 15.12; 11.64; 2.95
2025-12-15 16:29:23;32.02380156517029;0.9134626388549805; 0.00; 15.13; 11.64; 2.91
2025-12-15 16:29:24;32.93768000602722;0.9135119915008545; 0.00; 15.17; 11.64; 2.98
2025-12-15 16:29:25;33.85160803794861;0.9135830402374268; 0.14; 15.13; 11.59; 2.95
2025-12-15 16:29:25;34.7654926776886;0.9155585765838623; 0.00; 15.17; 11.64; 2.95
2025-12-15 16:29:26;35.681636810302734;0.9141037464141846; 0.00; 15.11; 11.61; 2.95
2025-12-15 16:29:27;36.59601426124573;0.9150288105010986; 0.00; 15.15; 11.64; 2.98
2025-12-15 16:29:28;37.51199436187744;0.9137837886810303; 0.00; 15.15; 11.64; 2.91
2025-12-15 16:29:29;38.42603516578674;0.9147367477416992; 0.00; 15.17; 11.64; 2.95
2025-12-15 16:29:30;39.341596841812134;0.9144799709320068; 0.00; 15.17; 11.61; 2.95
2025-12-15 16:29:31;40.25631046295166;0.9143738746643066; 0.00; 15.13; 11.61; 2.93
2025-12-15 16:29:32;41.17119264602661;0.914177417755127; 0.00; 15.17; 11.64; 2.91
2025-12-15 16:29:33;42.08561110496521;0.916264533996582; 0.00; 15.13; 11.64; 2.95
2025-12-15 16:29:34;43.00261211395264;0.9143552780151367; 0.00; 15.10; 11.64; 2.95
2025-12-15 16:29:35;43.91722106933594;0.9137511253356934; 0.00; 15.12; 11.61; 2.93
2025-12-15 16:29:36;44.83124089241028;0.9133884906768799; 0.00; 15.13; 11.61; 2.98
2025-12-15 16:29:36;45.74488663673401;0.9135329723358154; 0.00; 15.19; 11.61; 2.93
2025-12-15 16:29:37;46.65869069099426;0.9136226177215576; 0.00; 15.15; 11.61; 2.91
2025-12-15 16:29:38;47.572575092315674;0.9136331081390381; 0.00; 15.12; 11.64; 2.93
2025-12-15 16:29:39;48.48647975921631;0.9137675762176514; 0.00; 15.11; 11.64; 2.89
2025-12-15 16:29:40;49.400553941726685;0.9134790897369385; 0.00; 15.17; 11.61; 2.95
2025-12-15 16:29:41;50.314456939697266;0.9136354923248291; 0.00; 15.19; 11.61; 2.95
2025-12-15 16:29:42;51.228559494018555;0.9135682582855225; 0.00; 15.12; 11.67; 2.98
2025-12-15 16:29:43;52.14271807670593;0.9135620594024658; 0.00; 15.17; 11.66; 2.95
2025-12-15 16:29:44;53.056573152542114;0.9134271144866943; 0.00; 15.10; 11.64; 2.91
2025-12-15 16:29:45;53.9702627658844;0.9160223007202148; 0.14; 15.12; 11.66; 2.95
2025-12-15 16:29:46;54.8870210647583;0.9222466945648193; 0.00; 15.15; 11.69; 2.95
2025-12-15 16:29:46;55.80990433692932;0.929847240447998; 0.00; 15.19; 11.64; 2.95
2025-12-15 16:29:47;56.74050951004028;0.915424108505249; 0.00; 15.17; 11.66; 2.98
2025-12-15 16:29:48;57.65622019767761;0.9145474433898926; 0.00; 15.16; 11.66; 3.00
2025-12-15 16:29:49;58.57136559486389;0.913740873336792; 0.29; 15.15; 11.64; 2.95
2025-12-15 16:29:50;59.48541283607483;0.9148762226104736; 0.00; 15.17; 11.61; 2.98
2025-12-15 16:29:51;60.40110778808594;0.9138174057006836; 0.00; 15.17; 11.64; 2.93
2025-12-15 16:29:52;61.31516480445862;0.9143671989440918; 0.00; 15.15; 11.64; 2.93
2025-12-15 16:29:53;62.22981882095337;0.9134984016418457; 0.00; 15.17; 11.64; 2.89
2025-12-15 16:29:54;63.148319482803345;0.917069673538208; 0.00; 15.10; 11.64; 2.93
2025-12-15 16:29:55;64.06637907028198;0.9185256958007812; 0.00; 15.13; 11.64; 2.93
2025-12-15 16:29:56;64.98512959480286;0.9139776229858398; 0.00; 15.19; 11.64; 2.95
2025-12-15 16:29:57;65.89939022064209;0.9137203693389893; 0.00; 15.17; 11.66; 2.89
2025-12-15 16:29:57;66.81339168548584;0.9136433601379395; 0.00; 15.12; 11.64; 2.95
2025-12-15 16:29:58;67.72730135917664;0.913719892501831; 0.00; 15.14; 11.64; 2.93
2025-12-15 16:29:59;68.6413197517395;0.9137063026428223; 0.00; 15.15; 11.69; 2.93
2025-12-15 16:30:00;69.55533266067505;0.9135499000549316; 0.00; 15.21; 11.63; 2.95
2025-12-15 16:30:01;70.4691994190216;0.9140889644622803; 0.00; 15.14; 11.61; 2.95
2025-12-15 16:30:02;71.38359189033508;0.9159319400787354; 0.00; 15.12; 11.61; 2.91
2025-12-15 16:30:03;72.30054950714111;0.9148592948913574; 0.00; 15.17; 11.66; 2.98
2025-12-15 16:30:04;73.21573066711426;0.9150002002716064; 0.00; 15.19; 11.66; 2.93
2025-12-15 16:30:05;74.13519072532654;0.9141910076141357; 0.00; 15.10; 11.61; 2.98
2025-12-15 16:30:06;75.04965233802795;0.9147109985351562; 0.00; 15.11; 11.63; 2.95
2025-12-15 16:30:07;75.96498370170593;0.9137892723083496; 0.00; 15.15; 11.64; 2.98
2025-12-15 16:30:08;76.87904858589172;0.9148392677307129; 0.00; 15.15; 11.66; 2.95
2025-12-15 16:30:08;77.79510688781738;0.9142069816589355; 0.00; 15.17; 11.63; 2.89
2025-12-15 16:30:09;78.7095832824707;0.9142720699310303; 0.00; 15.15; 11.64; 2.91
2025-12-15 16:30:10;79.62465715408325;0.9138131141662598; 0.00; 15.13; 11.59; 2.95
2025-12-15 16:30:11;80.53873682022095;0.9139344692230225; 0.00; 15.13; 11.66; 2.93
2025-12-15 16:30:12;81.45294618606567;0.9139673709869385; 0.00; 15.15; 11.66; 2.93
2025-12-15 16:30:13;82.3671932220459;0.9140627384185791; 0.00; 15.10; 11.61; 2.93
2025-12-15 16:30:14;83.28154182434082;0.9135491847991943; 0.00; 15.15; 11.71; 2.93
2025-12-15 16:30:15;84.19561243057251;0.9135401248931885; 0.14; 15.13; 11.66; 2.95
2025-12-15 16:30:16;85.10957217216492;0.9137980937957764; 0.00; 15.15; 11.69; 2.98
2025-12-15 16:30:17;86.02371120452881;0.9136366844177246; 0.00; 15.13; 11.63; 2.95
2025-12-15 16:30:18;86.93768405914307;0.9135510921478271; 0.00; 15.17; 11.64; 2.98
2025-12-15 16:30:19;87.85158205032349;0.9134166240692139; 0.00; 15.19; 11.64; 2.93
2025-12-15 16:30:19;88.76525783538818;0.914621114730835; 0.00; 15.11; 11.69; 2.91
2025-12-15 16:30:20;89.68052768707275;0.9136981964111328; 0.00; 15.13; 11.64; 2.93
2025-12-15 16:30:21;90.59447503089905;0.9152209758758545; 0.00; 15.17; 11.61; 2.91
2025-12-15 16:30:22;91.51057052612305;0.914039134979248; 0.00; 15.13; 11.66; 2.93
2025-12-15 16:30:23;92.4248366355896;0.9148135185241699; 0.00; 15.11; 11.64; 2.95
2025-12-15 16:30:24;93.34050369262695;0.9144401550292969; 0.00; 15.15; 11.64; 2.95
2025-12-15 16:30:25;94.25549674034119;0.9166884422302246; 0.00; 15.19; 11.66; 2.91
2025-12-15 16:30:26;95.17251944541931;0.9135637283325195; 0.00; 15.10; 11.64; 2.93
2025-12-15 16:30:27;96.08639883995056;0.9176580905914307; 0.00; 15.09; 11.64; 2.93
2025-12-15 16:30:28;97.00435733795166;0.9135966300964355; 0.00; 15.17; 11.66; 2.93
2025-12-15 16:30:29;97.91825222969055;0.914109468460083; 0.00; 15.17; 11.66; 2.89
2025-12-15 16:30:30;98.83265256881714;0.913569450378418; 0.00; 15.17; 11.64; 2.95
2025-12-15 16:30:30;99.7464849948883;0.9137182235717773; 0.00; 15.10; 11.66; 2.91
2025-12-15 16:30:31;100.66045999526978;0.9135162830352783; 0.00; 15.15; 11.66; 2.93
2025-12-15 16:30:32;101.57429337501526;0.9177858829498291; 0.00; 15.12; 11.66; 2.93
2025-12-15 16:30:33;102.49238014221191;0.9136393070220947; 0.00; 15.21; 11.69; 2.95
2025-12-15 16:30:34;103.40632343292236;0.9134068489074707; 0.00; 15.13; 11.64; 2.95
2025-12-15 16:30:35;104.31999850273132;0.913524866104126; 0.00; 15.11; 11.69; 2.93
2025-12-15 16:30:36;105.23382782936096;0.913414716720581; 0.00; 15.13; 11.66; 2.95
2025-12-15 16:30:37;106.14754366874695;0.9135444164276123; 0.00; 15.17; 11.64; 2.95
2025-12-15 16:30:38;107.06138062477112;0.9135148525238037; 0.00; 15.13; 11.66; 2.95
2025-12-15 16:30:39;107.97521042823792;0.9145698547363281; 0.14; 15.12; 11.69; 2.95
2025-12-15 16:30:40;108.89039444923401;0.913707971572876; 0.00; 15.15; 11.66; 2.93
2025-12-15 16:30:40;109.80437994003296;0.9148890972137451; 0.00; 15.14; 11.64; 2.95
2025-12-15 16:30:41;110.72017335891724;0.9149301052093506; 0.00; 15.19; 11.68; 2.93
2025-12-15 16:30:42;111.63533735275269;0.9147870540618896; 0.00; 15.12; 11.66; 2.98
2025-12-15 16:30:43;112.55078268051147;0.9142580032348633; 0.00; 15.17; 11.61; 2.98
2025-12-15 16:30:44;113.46533465385437;0.9151651859283447; 0.00; 15.14; 11.64; 2.98
2025-12-15 16:30:45;114.38143253326416;0.9150185585021973; 0.00; 15.19; 11.61; 2.95
2025-12-15 16:30:46;115.29672622680664;0.915107011795044; 0.00; 15.12; 11.64; 2.95
2025-12-15 16:30:47;116.21267414093018;0.914534330368042; 0.00; 15.19; 11.69; 2.98
2025-12-15 16:30:48;117.12745380401611;0.9137871265411377; 0.00; 15.12; 11.64; 2.98
2025-12-15 16:30:49;118.04152417182922;0.9137017726898193; 0.00; 15.14; 11.64; 3.02
2025-12-15 16:30:50;118.95551013946533;0.9146397113800049; 0.00; 15.12; 11.71; 2.98
2025-12-15 16:30:51;119.87042927742004;0.9135682582855225; 0.00; 15.12; 11.66; 2.98
2025-12-15 16:30:51;120.78425788879395;0.913428544998169; 0.00; 15.11; 11.66; 2.91
2025-12-15 16:30:52;121.69795894622803;0.9134130477905273; 0.00; 15.12; 11.69; 2.93
2025-12-15 16:30:53;122.61169862747192;0.9136655330657959; 0.00; 15.19; 11.64; 3.00
2025-12-15 16:30:54;123.52564740180969;0.9134771823883057; 0.00; 15.19; 11.69; 2.95
2025-12-15 16:30:55;124.4396858215332;0.9135243892669678; 0.00; 15.19; 11.64; 2.98
2025-12-15 16:30:56;125.35347747802734;0.9137382507324219; 0.00; 15.12; 11.66; 2.98
2025-12-15 16:30:57;126.26748180389404;0.9136464595794678; 0.14; 15.23; 11.58; 2.95
2025-12-15 16:30:58;127.18141579627991;0.9144017696380615; 0.00; 15.15; 11.66; 2.93
2025-12-15 16:30:59;128.09644174575806;0.9139308929443359; 0.00; 15.18; 11.61; 2.91
2025-12-15 16:31:00;129.0106189250946;0.9149701595306396; 0.00; 15.19; 11.64; 2.95
2025-12-15 16:31:01;129.92640256881714;0.9142227172851562; 0.00; 15.17; 11.66; 2.95
2025-12-15 16:31:02;130.84086966514587;0.9144241809844971; 0.00; 15.15; 11.61; 2.93
2025-12-15 16:31:02;131.75604605674744;0.9138212203979492; 0.00; 15.14; 11.69; 3.00
2025-12-15 16:31:03;132.67037057876587;0.9148552417755127; 0.00; 15.14; 11.64; 2.95
2025-12-15 16:31:04;133.58612656593323;0.9148850440979004; 0.00; 15.14; 11.64; 2.93
2025-12-15 16:31:05;134.50125741958618;0.9147326946258545; 0.00; 15.13; 11.61; 2.93
2025-12-15 16:31:06;135.41678285598755;0.9140949249267578; 0.00; 15.17; 11.66; 2.98
2025-12-15 16:31:07;136.3313431739807;0.9135262966156006; 0.00; 15.14; 11.61; 2.91
2025-12-15 16:31:08;137.24514198303223;0.9135115146636963; 0.00; 15.08; 11.67; 2.95
2025-12-15 16:31:09;138.15897059440613;0.9149777889251709; 0.00; 15.17; 11.61; 2.95
2025-12-15 16:31:10;139.074725151062;0.9212837219238281; 0.00; 15.15; 11.61; 2.93
2025-12-15 16:31:11;139.99697875976562;0.9161107540130615; 0.00; 15.15; 11.61; 2.95
2025-12-15 16:31:12;140.91331100463867;0.9135260581970215; 0.00; 15.12; 11.64; 2.98
2025-12-15 16:31:12;141.82709956169128;0.9139788150787354; 0.00; 15.14; 11.61; 2.91
2025-12-15 16:31:13;142.74135994911194;0.9139292240142822; 0.00; 15.13; 11.61; 2.95
2025-12-15 16:31:14;143.65561294555664;0.9142141342163086; 0.14; 15.13; 11.64; 2.95
2025-12-15 16:31:15;144.5700945854187;0.9145355224609375; 0.00; 15.15; 11.61; 2.95
2025-12-15 16:31:16;145.48522019386292;0.9140944480895996; 0.00; 15.17; 11.61; 3.00
2025-12-15 16:31:17;146.39967679977417;0.9151387214660645; 0.00; 15.12; 11.66; 2.95
2025-12-15 16:31:18;147.3158881664276;0.914794921875; 0.00; 15.15; 11.64; 2.95
2025-12-15 16:31:19;148.2309136390686;0.9145479202270508; 0.00; 15.11; 11.64; 2.95
2025-12-15 16:31:20;149.14600276947021;0.9140381813049316; 0.00; 15.10; 11.69; 2.95
2025-12-15 16:31:21;150.06029987335205;0.9157917499542236; 0.00; 15.19; 11.64; 2.93
2025-12-15 16:31:22;150.9770200252533;0.9157295227050781; 0.00; 15.16; 11.64; 2.91
2025-12-15 16:31:23;151.89300799369812;0.9171633720397949; 0.00; 15.12; 11.64; 2.93
2025-12-15 16:31:23;152.81094789505005;0.9153265953063965; 0.00; 15.19; 11.64; 2.95
2025-12-15 16:31:24;153.72650814056396;0.9142444133758545; 0.00; 15.14; 11.66; 2.93
2025-12-15 16:31:25;154.64104843139648;0.9140596389770508; 0.00; 15.17; 11.61; 2.95
2025-12-15 16:31:26;155.5553855895996;0.9136013984680176; 0.14; 15.12; 11.64; 2.91
2025-12-15 16:31:27;156.46930503845215;0.9135262966156006; 0.00; 15.13; 11.66; 2.95
2025-12-15 16:31:28;157.3831446170807;0.9135382175445557; 0.00; 15.15; 11.64; 2.93
2025-12-15 16:31:29;158.29699897766113;0.9135258197784424; 0.00; 15.14; 11.59; 2.95
2025-12-15 16:31:30;159.21082091331482;0.913435697555542; 0.00; 15.11; 11.61; 2.93
2025-12-15 16:31:31;160.12453365325928;0.9138054847717285; 0.14; 15.17; 11.61; 2.98
2025-12-15 16:31:32;161.03860902786255;0.9141221046447754; 0.00; 15.19; 11.61; 2.91
2025-12-15 16:31:33;161.95301151275635;0.9140589237213135; 0.00; 15.17; 11.61; 2.95
2025-12-15 16:31:34;162.8673586845398;0.9166491031646729; 0.14; 15.15; 11.61; 2.95
2025-12-15 16:31:34;163.78432512283325;0.9144313335418701; 0.00; 15.10; 11.64; 2.93
2025-12-15 16:31:35;164.69975423812866;0.9149863719940186; 0.14; 15.13; 11.64; 2.89
2025-12-15 16:31:36;165.61499786376953;0.917043924331665; 0.00; 15.15; 11.64; 2.93
2025-12-15 16:31:37;166.5323679447174;0.9139351844787598; 0.00; 15.15; 11.64; 2.95
2025-12-15 16:31:38;167.44661235809326;0.9145305156707764; 0.00; 15.17; 11.61; 2.95
2025-12-15 16:31:39;168.36213612556458;0.9137234687805176; 0.00; 15.08; 11.64; 3.00
2025-12-15 16:31:40;169.2761528491974;0.9151391983032227; 0.00; 15.15; 11.64; 2.93
2025-12-15 16:31:41;170.1923007965088;0.9142947196960449; 0.00; 15.19; 11.61; 2.91
2025-12-15 16:31:42;171.1069004535675;0.9152007102966309; 0.00; 15.17; 11.61; 2.93
2025-12-15 16:31:43;172.02239894866943;0.9140517711639404; 0.00; 15.15; 11.64; 2.95
2025-12-15 16:31:44;172.93673515319824;0.9141900539398193; 0.00; 15.15; 11.64; 2.95
2025-12-15 16:31:45;173.8512246608734;0.9139432907104492; 0.00; 15.17; 11.63; 2.98
2025-12-15 16:31:45;174.76543807983398;0.9134819507598877; 0.00; 15.19; 11.61; 2.93
2025-12-15 16:31:46;175.67922711372375;0.9135861396789551; 0.00; 15.19; 11.69; 2.91
2025-12-15 16:31:47;176.5931260585785;0.9135355949401855; 0.00; 15.17; 11.63; 2.98
2025-12-15 16:31:48;177.5069718360901;0.9136207103729248; 0.00; 15.21; 11.61; 2.93
2025-12-15 16:31:49;178.42085480690002;0.9142377376556396; 0.00; 15.19; 11.61; 2.95
2025-12-15 16:31:50;179.33537220954895;0.9137084484100342; 0.00; 15.17; 11.61; 2.93
2025-12-15 16:31:51;180.24934196472168;0.9136941432952881; 0.14; 15.13; 11.66; 2.95
2025-12-15 16:31:52;181.16331124305725;0.9142606258392334; 0.00; 15.15; 11.61; 2.98
2025-12-15 16:31:53;182.07854413986206;0.9139034748077393; 0.14; 15.12; 11.64; 2.98
2025-12-15 16:31:54;182.99269771575928;0.914949893951416; 0.00; 15.15; 11.63; 2.93
2025-12-15 16:31:55;183.9087107181549;0.914191722869873; 0.00; 15.15; 11.64; 2.93
2025-12-15 16:31:55;184.8231291770935;0.9149768352508545; 0.00; 15.14; 11.64; 2.93
2025-12-15 16:31:56;185.73892641067505;0.9141623973846436; 0.00; 15.12; 11.66; 2.95
2025-12-15 16:31:57;186.65335965156555;0.9144918918609619; 0.00; 15.13; 11.61; 2.95
2025-12-15 16:31:58;187.56844758987427;0.9140632152557373; 0.14; 15.11; 11.66; 2.93
2025-12-15 16:31:59;188.48275136947632;0.9152333736419678; 0.00; 15.19; 11.71; 2.91
2025-12-15 16:32:00;189.39982390403748;0.9151675701141357; 0.00; 15.17; 11.61; 2.95
2025-12-15 16:32:01;190.31522631645203;0.9141950607299805; 0.14; 15.13; 11.64; 2.93
2025-12-15 16:32:02;191.22974348068237;0.913477897644043; 0.00; 15.15; 11.66; 2.93
2025-12-15 16:32:03;192.1434841156006;0.9135241508483887; 0.00; 15.21; 11.64; 2.95
2025-12-15 16:32:04;193.05728793144226;0.9137523174285889; 0.00; 15.17; 11.64; 2.95
2025-12-15 16:32:05;193.9713635444641;0.9137139320373535; 0.00; 15.12; 11.63; 2.98
2025-12-15 16:32:06;194.88536834716797;0.9134025573730469; 0.00; 15.14; 11.64; 2.95
2025-12-15 16:32:06;195.7990369796753;0.9134440422058105; 0.00; 15.19; 11.64; 2.93
2025-12-15 16:32:07;196.7127914428711;0.9133901596069336; 0.00; 15.14; 11.66; 2.93
2025-12-15 16:32:08;197.62645077705383;0.9136645793914795; 0.00; 15.12; 11.61; 2.95
2025-12-15 16:32:09;198.5404224395752;0.9134597778320312; 0.00; 15.15; 11.61; 2.95
2025-12-15 16:32:10;199.45418524742126;0.9134624004364014; 0.00; 15.15; 11.61; 2.93
2025-12-15 16:32:11;200.36794710159302;0.9144484996795654; 0.00; 15.19; 11.61; 2.95
2025-12-15 16:32:12;201.28295063972473;0.9149096012115479; 0.00; 15.12; 11.61; 2.95
2025-12-15 16:32:13;202.1981110572815;0.9151201248168945; 0.00; 15.14; 11.64; 2.95
2025-12-15 16:32:14;203.1141128540039;0.9146528244018555; 0.00; 15.17; 11.61; 2.95
2025-12-15 16:32:15;204.02900671958923;0.9149978160858154; 0.00; 15.15; 11.64; 2.98
2025-12-15 16:32:16;204.9448528289795;0.9148650169372559; 0.00; 15.10; 11.69; 2.98
2025-12-15 16:32:17;205.86000776290894;0.9148790836334229; 0.00; 15.13; 11.61; 2.93
2025-12-15 16:32:17;206.77587795257568;0.9138998985290527; 0.00; 15.17; 11.61; 2.93
2025-12-15 16:32:18;207.69005799293518;0.914818525314331; 0.00; 15.19; 11.63; 2.91
2025-12-15 16:32:19;208.60570669174194;0.913759708404541; 0.00; 15.19; 11.64; 2.95
2025-12-15 16:32:20;209.51975750923157;0.9135231971740723; 0.14; 15.13; 11.64; 2.95
2025-12-15 16:32:21;210.4335606098175;0.9136009216308594; 0.00; 15.13; 11.66; 2.95
2025-12-15 16:32:22;211.34747624397278;0.9136636257171631; 0.00; 15.13; 11.61; 2.93
2025-12-15 16:32:23;212.26489186286926;0.9137532711029053; 0.00; 15.15; 11.61; 2.93
2025-12-15 16:32:24;213.17906546592712;0.9141845703125; 0.00; 15.13; 11.66; 3.00
2025-12-15 16:32:25;214.09352731704712;0.9136691093444824; 0.00; 15.19; 11.66; 2.95
2025-12-15 16:32:26;215.00747847557068;0.913466215133667; 0.00; 15.19; 11.69; 2.95
2025-12-15 16:32:27;215.92122292518616;0.9136302471160889; 0.00; 15.19; 11.66; 2.93
2025-12-15 16:32:28;216.8351321220398;0.9136011600494385; 0.00; 15.17; 11.61; 2.93
2025-12-15 16:32:28;217.74901604652405;0.9137263298034668; 0.00; 15.13; 11.61; 2.93
2025-12-15 16:32:29;218.66305255889893;0.9138338565826416; 0.00; 15.15; 11.63; 3.00
2025-12-15 16:32:30;219.57714176177979;0.9147732257843018; 0.00; 15.15; 11.64; 2.91
2025-12-15 16:32:31;220.49256539344788;0.9137043952941895; 0.00; 15.17; 11.66; 3.00
2025-12-15 16:32:32;221.40671157836914;0.9149918556213379; 0.00; 15.19; 11.64; 2.93
2025-12-15 16:32:33;222.32311868667603;0.9142739772796631; 0.00; 15.15; 11.64; 2.95
2025-12-15 16:32:34;223.23763942718506;0.9156482219696045; 0.00; 15.15; 11.64; 2.91
2025-12-15 16:32:35;224.15387511253357;0.9146502017974854; 0.00; 15.17; 11.64; 2.98
2025-12-15 16:32:36;225.06879234313965;0.9163403511047363; 0.00; 15.15; 11.67; 2.95
2025-12-15 16:32:37;225.9860782623291;0.915154218673706; 0.00; 15.11; 11.64; 2.98
2025-12-15 16:32:38;226.90199971199036;0.9162893295288086; 0.00; 15.15; 11.66; 2.93
2025-12-15 16:32:38;227.81909203529358;0.915032148361206; 0.29; 15.15; 11.61; 2.98
2025-12-15 16:32:39;228.73436760902405;0.9134829044342041; 0.00; 15.14; 11.66; 2.98
2025-12-15 16:32:40;229.64857530593872;0.9134085178375244; 0.00; 15.15; 11.61; 2.93
2025-12-15 16:32:41;230.5626335144043;0.9251806735992432; 0.00; 15.11; 11.64; 2.98
2025-12-15 16:32:42;231.48864650726318;0.9141530990600586; 0.00; 15.15; 11.64; 2.93
2025-12-15 16:32:43;232.4041883945465;0.9133951663970947; 0.00; 15.15; 11.61; 2.95
2025-12-15 16:32:44;233.31783032417297;0.913532018661499; 0.00; 15.11; 11.64; 2.95
2025-12-15 16:32:45;234.2317202091217;0.913764238357544; 0.29; 15.15; 11.64; 2.95
2025-12-15 16:32:46;235.14578104019165;0.9136850833892822; 0.00; 15.12; 11.61; 2.93
2025-12-15 16:32:47;236.05979442596436;0.9134371280670166; 0.14; 15.13; 11.61; 2.95
2025-12-15 16:32:48;236.97369527816772;0.9141850471496582; 0.00; 15.17; 11.64; 2.93
2025-12-15 16:32:49;237.88820958137512;0.9141614437103271; 0.00; 15.14; 11.66; 2.98
2025-12-15 16:32:49;238.8032512664795;0.9168696403503418; 0.29; 15.21; 11.61; 2.91
2025-12-15 16:32:50;239.72127985954285;0.9145951271057129; 0.00; 15.15; 11.64; 2.89
2025-12-15 16:32:51;240.63611888885498;0.9144408702850342; 0.00; 15.19; 11.59; 2.91
2025-12-15 16:32:52;241.55163383483887;0.914085865020752; 0.00; 15.11; 11.64; 2.91
2025-12-15 16:32:53;242.4662902355194;0.9158697128295898; 0.14; 15.15; 11.64; 2.95
2025-12-15 16:32:54;243.38314056396484;0.9153420925140381; 0.00; 15.17; 11.61; 2.93
2025-12-15 16:32:55;244.29944777488708;0.9161946773529053; 0.00; 15.17; 11.58; 2.95
2025-12-15 16:32:56;245.2179560661316;0.917954683303833; 0.00; 15.15; 11.64; 2.93
2025-12-15 16:32:57;246.1361699104309;0.9136545658111572; 0.00; 15.15; 11.61; 2.95
2025-12-15 16:32:58;247.05010104179382;0.9135661125183105; 0.14; 15.15; 11.64; 2.91
2025-12-15 16:32:59;247.96411681175232;0.9139034748077393; 0.00; 15.15; 11.64; 2.93
2025-12-15 16:33:00;248.87832856178284;0.9138901233673096; 0.00; 15.19; 11.64; 2.93
2025-12-15 16:33:00;249.79252648353577;0.913827657699585; 0.00; 15.21; 11.64; 2.95
2025-12-15 16:33:01;250.70664978027344;0.9135839939117432; 0.14; 15.15; 11.61; 2.95
